flag_type;country_code;country_name;db_hotels;ge_hotels;ratio_or_coverage
OVER;TJ;"Internacional";161;3;53.67x
OVER;BI;"Internacional";94;3;31.33x
OVER;ML;"Internacional";151;6;25.17x
OVER;ET;"Etiópia";349;16;21.81x
OVER;CG;"Internacional";108;5;21.60x
OVER;AS;"Internacional";17;1;17.00x
OVER;GW;"Internacional";61;4;15.25x
OVER;MH;"Internacional";56;4;14.00x
OVER;BT;"Internacional";48;4;12.00x
OVER;AF;"Afeganistão";82;7;11.71x
OVER;KG;"Internacional";167;15;11.13x
OVER;CF;"Internacional";22;2;11.00x
OVER;SL;"Internacional";32;3;10.67x
OVER;TD;"Internacional";59;6;9.83x
OVER;BF;"Internacional";95;10;9.50x
OVER;GA;"Internacional";64;7;9.14x
OVER;MN;"Internacional";97;12;8.08x
OVER;ER;"Internacional";8;1;8.00x
OVER;SO;"Internacional";143;19;7.53x
OVER;GN;"Internacional";37;5;7.40x
OVER;GQ;"Internacional";35;5;7.00x
OVER;IQ;"Iraque";103;15;6.87x
OVER;BJ;"Internacional";60;9;6.67x
OVER;HU;"Hungria";4086;706;5.79x
OVER;VC;"Internacional";45;8;5.63x
OVER;SD;"Sudão";28;5;5.60x
OVER;UZ;"Internacional";291;52;5.60x
OVER;TG;"Internacional";54;10;5.40x
OVER;BW;"Internacional";134;26;5.15x
OVER;HT;"Internacional";125;25;5.00x
OVER;GI;"Internacional";74;15;4.93x
OVER;BN;"Internacional";121;26;4.65x
OVER;RW;"Internacional";78;18;4.33x
OVER;MW;"Internacional";85;21;4.05x
OVER;NE;"Níger";16;4;4.00x
OVER;NG;"Nigéria";264;68;3.88x
OVER;ZW;"Internacional";205;60;3.42x
OVER;IE;"Irlanda";4585;1443;3.18x
OVER;GE;"Internacional";205;68;3.01x
OVER;BD;"Bangladesh";157;53;2.96x
OVER;CM;"Camarões";51;18;2.83x
OVER;NP;"Internacional";387;139;2.78x
OVER;GH;"Gana";128;46;2.78x
OVER;MZ;"Moçambique";141;52;2.71x
OVER;ZM;"Internacional";141;52;2.71x
OVER;CD;"Internacional";131;49;2.67x
OVER;ST;"Internacional";16;6;2.67x
OVER;AO;"Internacional";125;48;2.60x
OVER;UG;"Internacional";95;38;2.50x
OVER;TC;"Internacional";148;60;2.47x
OVER;SG;"Singapura";1122;490;2.29x
OVER;EG;"Egito";2902;1357;2.14x
UNDER;PS;"Palestine";0;83;0.0%
UNDER;JE;"Jersey";0;75;0.0%
UNDER;MO;"Macau";0;70;0.0%
UNDER;AG;"Antigua and Barbuda";0;66;0.0%
UNDER;SV;"El Salvador";0;60;0.0%
UNDER;SX;"Sint Maarten";0;43;0.0%
UNDER;KY;"Cayman Islands";0;41;0.0%
