country_code;country_name;ge_hotels;db_hotels;db_with_coords;db_rejected;db_wrong_country;db_geo_found;difference;ratio;coverage_pct;flags
US;"Internacional";62465;3740;2663;0;0;0;-58725;0.0599;5.99;"UNDER"
ES;"Internacional";19346;44;14;0;0;0;-19302;0.0023;0.23;"UNDER"
IT;"Italy";16623;2;2;0;0;0;-16621;0.0001;0.01;"UNDER"
FR;"France";12303;0;0;0;0;0;-12303;0.0000;0.00;"MISS, UNDER"
GB;"Internacional";8310;93;51;0;0;0;-8217;0.0112;1.12;"UNDER"
GR;"Internacional";7993;262;101;0;0;0;-7731;0.0328;3.28;"UNDER"
CN;"Internacional";7951;418;167;0;0;0;-7533;0.0526;5.26;"UNDER"
DE;"Germany";7201;4;4;0;0;0;-7197;0.0006;0.06;"UNDER"
TH;"Tailândia";6225;7217;2618;0;0;35;992;1.1594;115.94;""
TR;"Internacional";6004;78;45;0;0;0;-5926;0.0130;1.30;"UNDER"
CA;"Internacional";5527;1588;607;1;0;0;-3939;0.2873;28.73;""
AU;"Australia";4802;409;73;0;0;0;-4393;0.0852;8.52;"UNDER"
IN;"Internacional";4554;277;126;0;0;0;-4277;0.0608;6.08;"UNDER"
BR;"Internacional";4138;129;93;0;0;0;-4009;0.0312;3.12;"UNDER"
MX;"Internacional";3812;40;4;0;0;0;-3772;0.0105;1.05;"UNDER"
PT;"Internacional";3528;56;30;0;0;7;-3472;0.0159;1.59;"UNDER"
ID;"Internacional";3202;339;131;0;0;0;-2863;0.1059;10.59;"UNDER"
JP;"Internacional";2999;148;34;0;0;0;-2851;0.0493;4.93;"UNDER"
AT;"Áustria";2894;2926;813;0;0;0;32;1.0111;101.11;""
CH;"Switzerland";1869;2;2;0;0;0;-1867;0.0011;0.11;"UNDER"
AR;"Internacional";1845;40;1;0;0;0;-1805;0.0217;2.17;"UNDER"
MA;"Internacional";1660;40;0;0;0;0;-1620;0.0241;2.41;"UNDER"
HR;"Croácia";1638;1518;315;0;0;6;-120;0.9267;92.67;""
AE;"Emirados Árabes Unidos";1577;55;51;0;0;4;-1522;0.0349;3.49;"UNDER"
MY;"Internacional";1567;943;297;0;0;0;-624;0.6018;60.18;""
RU;"Internacional";1544;2571;2100;0;0;32;1027;1.6652;166.52;""
IE;"Irlanda";1443;4577;2159;3;0;23;3134;3.1719;317.19;"OVER"
NL;"Países Baixos";1391;68;63;0;0;0;-1323;0.0489;4.89;"UNDER"
EG;"Egito";1357;2863;1397;0;0;18;1506;2.1098;210.98;"OVER"
ZA;"Internacional";1342;74;4;0;0;0;-1268;0.0551;5.51;"UNDER"
NZ;"Internacional";1276;797;87;0;0;0;-479;0.6246;62.46;""
CZ;"Tchéquia";1205;10;10;0;0;0;-1195;0.0083;0.83;"UNDER"
VN;"Vietnã";1177;121;109;0;0;0;-1056;0.1028;10.28;"UNDER"
BG;"Internacional";1157;191;50;0;0;0;-966;0.1651;16.51;""
PH;"Internacional";1122;269;63;0;0;0;-853;0.2398;23.98;""
